name,type,basis,x,y,coordinate
Dexter High Bench,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540952.610630623,1671224.7770968776,kg
Grass Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540952.569722469,1670239.7752541525,kg
Mattie (lower workings),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540898.5482835408,1671509.8095606822,kg
Unnamed high-bench deposit (Dexter Creek-Dry Creek divide),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540852.4959645675,1669045.0436003245,kg
Madeline; Mattie (upper workings),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540838.0396710307,1671635.2248019332,kg
Snowflake,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540704.484658404,1671170.6319406908,kg
Deer Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540685.3096781474,1670408.7756696532,kg
Sugar,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540520.5957266188,1671025.693175285,kg
Newton Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540456.3437199128,1665840.6587780786,kg
Gold Hill (drift mine near Dexter),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540433.8700061099,1670908.8429859502,kg
Grouse Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-540127.3580794708,1670629.5765716517,kg
Otter Creek; Florence Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-539922.4056723003,1660563.5582370355,kg
Unnamed (placer mine west of Nome River),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-538709.0567842895,1674664.5575262618,kg
Dexter Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-538181.4390640078,1670192.972942332,kg
Extra Dry Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-538103.884037834,1668379.7710647956,kg
Nome River (2 miles below Banner Creek),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-537779.9897126971,1673859.5864096317,kg
McDonald Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-537526.4017481081,1662066.1501585648,kg
Tripple Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-537317.1541473527,1663830.2193998864,kg
Dewey Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535966.5506602008,1675382.2445049884,kg
Second Beach,strandline_beach,"Hudson 2006 L51: strandline beach, garnet + black-sand rich",-535868.2750590205,1657821.33854352,kg
Buster Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535801.8589608363,1670985.1257912142,kg
Irene Creek; Topaz,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535783.7003115176,1659176.5423370071,kg
Lillian Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535535.7389006447,1672399.704108898,kg
Laurada Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535479.1047911142,1660879.0902429407,kg
Moss Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535373.3033071728,1661528.8740277418,kg
Washington Creek; Washington Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-535113.7858541056,1663023.9962530022,kg
Stevens Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-534984.7165887324,1662753.0119159115,kg
Union Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-534026.33533826,1672741.8452813814,kg
Grace Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-533429.0493231321,1672345.824705181,kg
"Bear Cub claim (between Dry Creek and Newton Creek), Third Beach",strandline_beach,Tuck MS-join (high_curated),-541111.2,1665059.1,tuck_ms_join
"Happy New Years claim, Third Beach",strandline_beach,Tuck MS-join (high_curated),-539077.8,1664274.1,tuck_ms_join
"Jupiter claim, Third Beach",strandline_beach,Tuck MS-join (high_curated),-538907.8,1663555.6,tuck_ms_join
"No. 9 Otter Creek claim, Third Beach",strandline_beach,Tuck MS-join (high_curated),-539165.5,1663670.6,tuck_ms_join
"Roosevelt and Golden Bull claims (formerly Bon Voyage), Third Beach",strandline_beach,Tuck MS-join (high_curated),-541005.0,1663875.8,tuck_ms_join
Wild Goose Co. Third Beach drift-mine production (total),strandline_beach,Tuck MS-join (high_curated),-539050.4,1663833.4,tuck_ms_join
