slug,name,deposit_type,type_canon,coordinate_source,x_3338,y_3338,n_ms_matched,match_spread_m,best_confidence,matched_ms,matched_claims,source_pages
tripple_east_georges_gulch_carrington,"East of Tripple Creek / Georges Gulch (Locality X, Carrington 1941 drilling)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,127;128
tripple_johnson_walsh_holes_1938,"Tripple-Otter intervening ground (Walter Johnson 1938 holes, Owl/Bottle/Localities V-W)",abrasion-platform,abrasion_platform,pinpoint_needed,,,1,,rejected,1138,Owl Association,126;127
upper_poluk_creek_deep_ground,Upper Poluk Creek deep ground (localities G and K),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,117
vivian_claim_mcdonald_creek,"Vivian claim, McDonald Creek (Third Beach east end)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,121;123
wild_goose_third_beach_drift_production,Wild Goose Co. Third Beach drift-mine production (total),true-beach,strandline_beach,ms_join,-539050.4,1663833.4,4,1241.7,high_curated,1232;1113;327;1217,North Pole;Happy New Years;No. 9 Otter;Jupiter,120
cunningham_creek_shafts,"Cunningham Creek shafts (Kroll and Hehes, between benches)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,134
hastings_creek_dredged,Hastings Creek with Saunders and Grass Creeks (dredged reconcentration),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,133;136
hastings_saunders_third_beach_shafts,Third Beach shafts between Hastings and Saunders Creeks,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,135
locality_d_poepke,"Locality D, west of Poepke claim (extreme western end of map)",abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,135
map_c_area_general,Map C Area (general features),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,131;132
massachusetts_connecticut_shafts,Massachusetts and Connecticut claim deep shafts (Willow Creek vicinity),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,131;134
nome_river_bedrock_benches,Nome River bedrock benches / open cuts (abrasion-platform concentration),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,132;135;139;140
nome_river_channel,Nome River Valley (deep bedrock channel concentration),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,140;141;142
nome_river_locality_b,Bedrock abrasion platform north of Irene Creek (Locality B),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,139;140
nome_river_past_exploration,Nome River valley (past exploration drilling),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,133;134
present_beach,Present Beach (Map C),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,132;134
ross_gulch,Ross Gulch,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,133;134
second_beach_productive,Second Beach (Map C),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,132;134
second_bench_dredge_project,"Second Bench (dredge-project locality, east of Nome River to Hastings Creek)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,136;137
second_bench_hastings_supplement,"Second Bench supplementary yardage, Hastings Creek to Saunders Creek",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,137
stevens_creek_group,"Stevens, Nome, Laurado Creeks and unnamed creek (Army Peak southwest slope)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,132;133;135
third_beach_adjoining,Third Beach and Adjoining Areas (discussion / recommendation),true-beach,strandline_beach,ms_join,-539077.8,1664274.1,2,859.6,high_curated,1232;1113,North pole;Happy New Years,138;139;140
third_beach_locality_a_aldrich,"Third Beach eastern embayment, Locality A (Nome Creek, Aldrich/Belleview)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,138
third_beach_locality_c_kroll,"Third Bench sloughover at Locality C (Kroll shafts, Irene Creek)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,134;135;139;140
third_beach_productive,"Third Beach (productive area, Irene and Cunningham Creeks)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,132
third_beach_west_extension,Third Beach western extension (west of productive area toward Nome River),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,138
alpha_creek,Alpha Creek,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,144;147
anvil_channel_1_north_specimen,Anvil Channel 1 north of Specimen Gulch (Gillette cut),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,157;159
anvil_channel_1_south_specimen,Anvil Channel 1 south of Specimen Gulch (deepest; Gnick/K.L. claims),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1253,K. L. Claim,157;159
anvil_channel_2_north_specimen,"Anvil Channel 2 north of Specimen Gulch (rim/overburden, Ben Gillette)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,159;160
anvil_channel_3,"Anvil Channel 3 (F. Hahn lease, No. 3 Below Specimen)",upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,347,No. 3 Below Specimen,159
anvil_channel_4,"Anvil Channel 4 (2,130 ft lease operation, south of Specimen Gulch)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,159;162
anvil_creek,Anvil Creek (creek bed; history and production),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,757,Discovery claim,155;156
anvil_creek_dredge_rework,Anvil Creek bed dredge rework (1922-1929),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,155
anvil_creek_left_limit_channels,Anvil Creek left-limit channels (general; channels 1-6),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1253,K. L. Claim,156;157;158;159;160
anvil_left_limit_yardage_potential,Anvil left-limit channel+overburden yardage potential (company operation),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,162;163
anvil_overburden_between_channels,Anvil left-limit overburden / gravel-slide-rock between channels,upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1867,No. 1 Specimen,160;161;162
balto_prospect_lindbloom_group,Balto / Prospect / Lindbloom Creeks (grouped),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,144;148
bangor_creek,Bangor Creek,upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1844,Bangor Creek,144
boulder_creek_snake,Boulder Creek (Snake River tributary),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,144;148
dexter_creek,Dexter Creek,upland-residual,upland_residual,ms_join,-542799.4,1670926.8,2,926.8,medium_cluster,1223;714,Claim 8 above;No. 5 above,175;176;177
dexter_creek_dredge_1920_1926,Dexter Creek - creek-bed dredging (Last Chance No. 2 Dexter to Grouse Gulch),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,459,Last Chance,176;177
dexter_creek_left_limit_barren,Dexter Creek - left limit slide-rock/gravel bench (No. 5 above to Grouse Gulch; Blucher Bench),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,714,No. 5 above,175;176
dexter_creek_loc_i_j_nome_river_bench,Dexter Creek - Localities I and J (Nome River flats bedrock bench),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,176
dexter_divide_high_gravel,High Gravel Deposits of the Dexter Divide Area,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,164;165
dexter_divide_lessee_production_since_1922,Dexter Divide high gravel - company lessee production since 1922,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,165
glacier_creek_bonanza_snow_section,"Glacier Creek, Bonanza Gulch to Snow Gulch section",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,151;152
glacier_creek_tributaries_total,Glacier Creek and tributaries (production total),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,144;151;152
glacier_mouth_steam_dredge_1903,"Glacier Creek mouth, 1903 steam dredge (stock proposition)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,146
gonowin_creek,Gonowin Creek (Axel Gorner prospecting cut),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,147
hot_air_bench,"Hot Air bench (NW of Snow Gulch mouth, three channels)",upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1146,Hot Air bench,152
last_chance_claim_pioneer_drilling,Last Chance claim - Pioneer Company hand-drill holes (false-bedrock clay pay),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,459,Last Chance,177
loc_f_channel_1,"Locality F - Channel 1 (higher bedrock channel, Mattie to Grouse Gulch)",upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1259,Surprise,166
loc_f_channels_2_3,Locality F - Channels 2 and 3 (Dexter Station area),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,166
loc_f_lessee_prospecting,Locality F - lessee and Wild Goose Company prospecting (gravel-section barrenness),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,168;169;170
loc_f_nekula_grouse_gulch,Locality F - Nooble (Nekula) Gulch to Grouse Gulch,upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1259,Surprise,165;166;167;168;170
loc_g_grass_specimen_divide,Locality G - Divide Between Grass Gulch and Specimen Gulch,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,170;171;172
loc_g_no5_specimen_summit,Locality G - 'Summit' claim (No. 5 Specimen) bedrock paystreak,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,170;171
loc_h_dry_creek_divide,Locality H - Dry Creek Divide,upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,459,Last Chance,172;173;174;175
loc_h_left_branch_dexter_lessees,"Locality H area - Left Branch Dexter Creek lessee workings (Conley, Newstamer, Anderson)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,173;174
lower_glacier_creek_flats,"Lower Glacier Creek, No. 3 Below into Snake River flats",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,146;152;153;154
map_d_general_features,"Map D general features (Snake R. to Nome R., topography/bedrock/gravel)",unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,143
mary_gulch,Mary Gulch,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,144;148
monument_creek,Monument Creek,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,144
morgan_gulch,Morgan Gulch (Glacier Creek right limit),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,152
mountain_creek_snake,"Mountain Creek (Snake River tributary, Pioneer 1911 holes)",upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,710,Lindblom claim,146
rock_creek,Rock Creek (placer; Pioneer Mining Co.),upland-residual,upland_residual,ms_join,-543564.5,1674759.3,3,19885.2,high_curated,473;1302;721,No. 1 Below;No. 2 Above;Rock Creek,148;149;150;151
rock_creek_placer_tungsten,Rock Creek placer tungsten (scheelite),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1302,No. 2 Above,150;151
sledge_creek,Sledge Creek,upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1840,Sledge Creek,144
snake_river_alluvium_exploration,"Snake River valley alluvium (exploration, localities A-D; practically barren)",unknown,broad_ambiguous,pinpoint_needed,,,1,,rejected,1208,Washington claim,144;145;146;147
snake_river_left_limit_tributaries,Snake River left-limit tributaries (general),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,148
snake_river_right_limit_tributaries,Snake River right-limit tributaries (general),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,147;148
snake_river_valley_tributary_total,"Snake River valley, tributary production total",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,143;144
snow_gulch,Snow Gulch (Glacier Creek tributary),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,152;153
somnent_creek,Somnent Creek,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,148
map_e_area_general,Map E Area (general features),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,178
nome_river_old_channel_safety_lagoon,Old Nome River channel through St. Michaels Creek divide to Safety Lagoon (geologic / glaciation),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,179
nome_river_valley,Nome River valley (deep bedrock fill),upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,459,Last Chance,178;179
old_nome_river_channel_locality_b_julien,"Locality B - Old Nome River Channel (Julien bench ground, open cuts on lower Osborne Creek)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,181
old_nome_river_channel_locality_c,"Locality C - Old Nome River Channel (barren shafts and open cut, downstream)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,181
osborne_creek_almodo_dredge_falsebedrock,"Lower Osborne Creek below St. Michaels Creek (Al Modo dredge, sticky-clay false bedrock)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,180
osborne_creek_anita_gulch_bench,"Osborne Creek right-limit hillside gravel (Anita Gulch downstream, near Nome River)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,180
osborne_creek_costillo_divide,Costillo Creek divide (Osborne Creek left-limit gravel toward Safety Lagoon),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,180
osborne_creek_main,"Osborne Creek (main creek placer, dredged)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,179;180
osborne_divide_in_gravel,'In gravel' saddle deposit between the greenstone hills east of Osborne Creek (Dexter-Divide-elevation gravel),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,178
seattle_creek_locality_a,"Locality A - Seattle Creek (gravel-filled divide, barren shafts)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,181
st_michaels_creek,"St. Michaels Creek (hand-work and dredging, low-grade outwash reconcentration)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,181
abrasion_platform_sloughover_general,Abrasion platform / sloughover / offshore deposit (district general),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,51;52
anvil_creek_lode,Anvil Creek veins (right limit ridge),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,182
boulder_creek_lode,Boulder Creek lode (right limit near Discovery),unknown,broad_ambiguous,pinpoint_needed,,,1,,rejected,757,Discovery,182
center_creek_beach,Center Creek Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,58
claim_no2_dredge_tungsten,Claim No. 2 (Guinan and Ames dredge) placer scheelite,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,183
daniels_creek_lode_bluff,Daniels Creek lodes near Bluff,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,182
district_dredge_production_total,Nome District dredge production and proven-ground valuation,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,25;26
district_marine_vs_stream_deposit_framework,Nome District marine concentration framework (true beach vs abrasion platform),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,10
district_production_history_methods,Nome District productive history (four operating periods: creek / drift / hydraulic / dredge),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,25
district_total,Nome District (whole-district total),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,10;41
district_us_company_predecessors_total,U.S. Company and predecessor companies cumulative production,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,25
fourth_beach,Fourth Beach (120-foot marine placer surface),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,59
fox_creek_lode,Fox Creek quartz-sulphide outcrop,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,182
glacier_creek_placer_tungsten,Glacier Creek placer scheelite,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,183
intermediate_beach,Intermediate Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,58
lindblom_bangor_placer_tungsten,Lindblom and Bangor Creeks placer scheelite,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,183
monroeville_beach,Monroeville Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,58
nome_lode_general,Nome District gold lodes (general),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,182
nome_placer_tungsten_general,Nome placer scheelite (general),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,183
offshore_beach,Offshore Beach,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,55
olga_beach,Olga Beach,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,55
present_beach,Present Beach,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,52
present_beach_abrasion_platform,Present Beach abrasion platform (offshore/sloughover),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,55;56
rock_creek_placer_tungsten,Rock Creek placer scheelite,upland-residual,upland_residual,pinpoint_needed,,,1,,rejected,1302,claim No. 2 Above,183
second_beach,Second Beach,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,52;53
second_beach_abrasion_platform,Second Beach abrasion platform (offshore deposit),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,56
second_beach_otter_coarse_gold,Second Beach rich portion west of Otter Creek,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,53
seward_peninsula_tungsten_production_1916_1918,"Seward Peninsula tungsten production (1916, 1918)",unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,184
sophie_gulch_sapphire_lode_tungsten,Sapphire Lode / Sophie Gulch (Rock Creek left limit),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,183;184
submarine_beach,Submarine Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,1,,rejected,2315,Submarine,58
third_beach,Third Beach,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,53;54
third_beach_abrasion_platform,Third Beach abrasion platform (offshore deposit),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,56
true_beach_concentration_general,True beach concentration (district general),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,49;51;52
true_beach_vs_abrasion_platform_minerals,True-beach vs abrasion-platform associated minerals (district §1d),unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,69
